target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,249.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,250.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0
2.0,251.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0
3.0,252.0,0.0,1.0,1.0,1.0,1.0,4.0,8.0
4.0,253.0,0.0,1.0,1.0,1.0,2.0,5.0,2.0
5.0,254.0,0.0,1.0,1.0,1.0,3.0,5.0,13.0
6.0,255.0,0.0,1.0,1.0,1.0,2.0,1.0,6.0
7.0,256.0,0.0,1.0,1.0,1.0,3.0,1.0,4.0
8.0,257.0,0.0,1.0,1.0,1.0,2.0,2.0,7.0
9.0,258.0,0.0,1.0,1.0,1.0,3.0,2.0,12.0
10.0,259.0,0.0,1.0,1.0,1.0,2.0,3.0,21.0
11.0,260.0,0.0,1.0,1.0,1.0,3.0,3.0,10.0
12.0,261.0,0.0,1.0,1.0,1.0,2.0,4.0,23.0
13.0,262.0,0.0,1.0,1.0,1.0,3.0,4.0,40.0
14.0,263.0,0.0,1.0,1.0,1.0,4.0,5.0,18.0
15.0,264.0,0.0,1.0,1.0,1.0,5.0,5.0,32.0
16.0,265.0,0.0,1.0,1.0,1.0,5.0,1.0,17.0
17.0,266.0,0.0,1.0,1.0,1.0,4.0,1.0,27.0
18.0,267.0,0.0,1.0,1.0,1.0,4.0,2.0,24.0
19.0,268.0,0.0,1.0,1.0,1.0,4.0,3.0,31.0
20.0,269.0,0.0,1.0,1.0,1.0,4.0,4.0,5.0
21.0,270.0,0.0,1.0,1.0,1.0,5.0,2.0,9.0
22.0,271.0,0.0,1.0,1.0,1.0,5.0,3.0,22.0
23.0,272.0,0.0,1.0,1.0,1.0,5.0,4.0,11.0
24.0,273.0,0.0,1.0,1.0,1.0,6.0,5.0,26.0
25.0,274.0,0.0,1.0,1.0,1.0,7.0,5.0,14.0
26.0,275.0,0.0,1.0,1.0,1.0,6.0,1.0,34.0
27.0,276.0,0.0,1.0,1.0,1.0,7.0,1.0,20.0
28.0,277.0,0.0,1.0,1.0,1.0,6.0,2.0,16.0
29.0,278.0,0.0,1.0,1.0,1.0,7.0,2.0,28.0
30.0,279.0,0.0,1.0,1.0,1.0,6.0,3.0,35.0
31.0,280.0,0.0,1.0,1.0,1.0,7.0,3.0,19.0
32.0,281.0,0.0,1.0,1.0,1.0,6.0,4.0,42.0
33.0,282.0,0.0,1.0,1.0,1.0,7.0,4.0,37.0
34.0,283.0,0.0,1.0,1.0,1.0,8.0,5.0,30.0
35.0,284.0,0.0,1.0,1.0,1.0,9.0,5.0,43.0
36.0,285.0,0.0,1.0,1.0,1.0,8.0,1.0,36.0
37.0,286.0,0.0,1.0,1.0,1.0,9.0,1.0,15.0
38.0,287.0,0.0,1.0,1.0,1.0,8.0,2.0,46.0
39.0,288.0,0.0,1.0,1.0,1.0,9.0,2.0,33.0
40.0,289.0,0.0,1.0,1.0,1.0,8.0,3.0,25.0
41.0,290.0,0.0,1.0,1.0,1.0,9.0,3.0,38.0
42.0,291.0,0.0,1.0,1.0,1.0,8.0,4.0,44.0
43.0,292.0,0.0,1.0,1.0,1.0,9.0,4.0,29.0
44.0,293.0,0.0,1.0,1.0,1.0,10.0,5.0,41.0
45.0,294.0,0.0,1.0,1.0,1.0,10.0,1.0,39.0
46.0,295.0,0.0,1.0,1.0,1.0,11.0,1.0,48.0
47.0,296.0,0.0,1.0,1.0,1.0,10.0,2.0,47.0
48.0,297.0,0.0,1.0,1.0,1.0,11.0,2.0,49.0
49.0,298.0,0.0,1.0,1.0,1.0,10.0,3.0,45.0
