target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,888.0,-0.6015840768814087,1.0,1.0,1.0,1.0,1.0,43.0
1.0,932.0,-0.024186022579669952,2.0,1.0,2.0,2.0,2.0,7.0
2.0,933.0,0.05502646043896675,2.0,1.0,2.0,3.0,2.0,44.0
3.0,934.0,0.47180598974227905,2.0,1.0,2.0,2.0,3.0,14.0
4.0,935.0,0.4730246365070343,2.0,1.0,2.0,3.0,3.0,45.0
5.0,936.0,0.11474049091339111,2.0,1.0,2.0,2.0,4.0,6.0
6.0,937.0,0.006280316971242428,2.0,1.0,2.0,3.0,4.0,46.0
7.0,938.0,0.3579837381839752,2.0,1.0,2.0,2.0,5.0,28.0
8.0,939.0,0.24391776323318481,2.0,1.0,2.0,2.0,1.0,47.0
9.0,940.0,0.050151847302913666,2.0,1.0,2.0,4.0,3.0,5.0
10.0,941.0,-2.035451889038086,2.0,1.0,2.0,4.0,4.0,48.0
11.0,942.0,0.348721981048584,2.0,1.0,2.0,5.0,1.0,3.0
12.0,943.0,0.164705291390419,2.0,1.0,2.0,3.0,5.0,49.0
13.0,944.0,0.40429258346557617,2.0,1.0,2.0,3.0,1.0,0.0
14.0,945.0,-2.5370497703552246,2.0,1.0,2.0,4.0,5.0,17.0
15.0,946.0,-2.5675160884857178,2.0,1.0,2.0,4.0,1.0,23.0
16.0,947.0,0.6375429034233093,3.0,1.0,2.0,6.0,3.0,1.0
17.0,948.0,0.6570413708686829,3.0,1.0,2.0,1.0,2.0,2.0
18.0,949.0,0.8179036378860474,3.0,1.0,2.0,7.0,2.0,12.0
19.0,950.0,0.8422766923904419,3.0,1.0,2.0,7.0,3.0,8.0
20.0,951.0,0.6004958152770996,3.0,1.0,2.0,8.0,2.0,27.0
21.0,952.0,0.7625767588615417,3.0,1.0,2.0,8.0,3.0,33.0
22.0,953.0,0.6936009526252747,3.0,1.0,2.0,1.0,3.0,32.0
23.0,954.0,0.6619159579277039,3.0,1.0,2.0,1.0,4.0,35.0
24.0,955.0,0.6619159579277039,3.0,1.0,2.0,6.0,4.0,22.0
25.0,956.0,0.6862890124320984,3.0,1.0,2.0,6.0,5.0,13.0
26.0,957.0,0.8179036378860474,3.0,1.0,2.0,7.0,4.0,4.0
27.0,958.0,0.8179036378860474,3.0,1.0,2.0,7.0,5.0,11.0
28.0,959.0,0.8179036378860474,3.0,1.0,2.0,8.0,4.0,31.0
29.0,960.0,0.8135164380073547,3.0,1.0,2.0,8.0,5.0,15.0
30.0,961.0,0.8008424639701843,3.0,1.0,2.0,7.0,1.0,10.0
31.0,962.0,0.6936009526252747,3.0,1.0,2.0,6.0,1.0,42.0
32.0,963.0,0.6619159579277039,3.0,1.0,2.0,1.0,5.0,21.0
33.0,964.0,0.6814144253730774,3.0,1.0,2.0,1.0,1.0,9.0
34.0,965.0,-0.8743187785148621,3.0,1.0,2.0,9.0,2.0,16.0
35.0,966.0,-1.1802008152008057,3.0,1.0,2.0,9.0,3.0,38.0
36.0,967.0,-0.8938172459602356,3.0,1.0,2.0,9.0,4.0,40.0
37.0,968.0,-0.9954529404640198,3.0,1.0,2.0,9.0,5.0,19.0
38.0,969.0,0.6004958152770996,3.0,1.0,2.0,8.0,1.0,30.0
39.0,970.0,-1.4292936325073242,3.0,1.0,2.0,9.0,1.0,18.0
40.0,971.0,-1.3732355833053589,1.0,1.0,2.0,10.0,5.0,26.0
41.0,972.0,-2.4968342781066895,1.0,1.0,2.0,10.0,1.0,29.0
42.0,973.0,0.591234028339386,1.0,1.0,2.0,11.0,1.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
