target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,48.0,-0.55813068151474,1.0,1.0,1.0,1.0,1.0,2.0
1.0,49.0,-0.9165151119232178,1.0,1.0,1.0,1.0,2.0,4.0
2.0,50.0,-1.138459324836731,1.0,1.0,1.0,1.0,3.0,0.0
3.0,51.0,-0.7928948402404785,1.0,1.0,1.0,1.0,4.0,3.0
4.0,52.0,-0.8351317644119263,1.0,1.0,1.0,1.0,5.0,10.0
5.0,53.0,0.967091977596283,1.0,1.0,1.0,2.0,2.0,1.0
6.0,54.0,0.1967543661594391,1.0,1.0,1.0,2.0,3.0,23.0
7.0,55.0,0.20247752964496613,1.0,1.0,1.0,2.0,4.0,21.0
8.0,56.0,1.6035076379776,1.0,1.0,1.0,2.0,5.0,7.0
9.0,57.0,-1.0593652725219727,2.0,1.0,1.0,3.0,1.0,9.0
10.0,58.0,-0.825974702835083,2.0,1.0,1.0,3.0,2.0,18.0
11.0,59.0,-1.2539527416229248,2.0,1.0,1.0,4.0,4.0,5.0
12.0,60.0,-0.6692745089530945,2.0,1.0,1.0,5.0,1.0,20.0
13.0,61.0,-0.48567548394203186,2.0,1.0,1.0,5.0,2.0,6.0
14.0,62.0,-0.7610740065574646,2.0,1.0,1.0,5.0,3.0,22.0
15.0,63.0,-0.7044147253036499,2.0,1.0,1.0,5.0,4.0,8.0
16.0,64.0,-0.9244130849838257,2.0,1.0,1.0,5.0,5.0,12.0
17.0,65.0,-0.22962121665477753,2.0,1.0,1.0,6.0,2.0,11.0
18.0,66.0,-0.9518842697143555,2.0,1.0,1.0,6.0,3.0,28.0
19.0,67.0,-0.916400671005249,2.0,1.0,1.0,6.0,4.0,36.0
20.0,68.0,-0.9381486773490906,2.0,1.0,1.0,6.0,5.0,17.0
21.0,69.0,-0.40703922510147095,2.0,1.0,1.0,3.0,3.0,49.0
22.0,70.0,-0.04155810549855232,2.0,1.0,1.0,3.0,4.0,38.0
23.0,71.0,-0.6952576637268066,2.0,1.0,1.0,3.0,5.0,26.0
24.0,72.0,0.4291147291660309,2.0,1.0,1.0,7.0,1.0,13.0
25.0,73.0,-0.5619080066680908,2.0,1.0,1.0,7.0,2.0,30.0
26.0,74.0,0.7045133113861084,2.0,1.0,1.0,1.0,5.0,31.0
27.0,75.0,1.475537657737732,2.0,1.0,1.0,8.0,1.0,16.0
28.0,76.0,1.203458547592163,2.0,1.0,1.0,8.0,2.0,34.0
29.0,77.0,0.8503394722938538,2.0,1.0,1.0,7.0,3.0,15.0
30.0,78.0,0.9095169305801392,2.0,1.0,1.0,7.0,4.0,33.0
31.0,79.0,0.9796829223632812,2.0,1.0,1.0,7.0,5.0,14.0
32.0,80.0,1.825566291809082,2.0,1.0,1.0,9.0,1.0,42.0
33.0,81.0,1.192126750946045,2.0,1.0,1.0,9.0,2.0,32.0
34.0,82.0,1.2107841968536377,2.0,1.0,1.0,9.0,3.0,19.0
35.0,83.0,1.0034912824630737,2.0,1.0,1.0,9.0,4.0,24.0
36.0,84.0,-0.7645079493522644,2.0,1.0,1.0,9.0,5.0,40.0
37.0,85.0,1.2143325805664062,2.0,1.0,1.0,8.0,3.0,41.0
38.0,86.0,0.9957078099250793,2.0,1.0,1.0,8.0,4.0,48.0
39.0,87.0,1.283010482788086,2.0,1.0,1.0,8.0,5.0,27.0
40.0,88.0,1.8164092302322388,2.0,1.0,1.0,2.0,5.0,35.0
41.0,89.0,1.6222795248031616,2.0,1.0,1.0,4.0,5.0,47.0
42.0,90.0,-0.7064750790596008,2.0,1.0,1.0,10.0,2.0,45.0
43.0,91.0,-0.8448611497879028,2.0,1.0,1.0,11.0,2.0,25.0
44.0,92.0,-0.7282230854034424,2.0,1.0,1.0,11.0,3.0,44.0
45.0,93.0,-0.6952576637268066,2.0,1.0,1.0,10.0,3.0,46.0
46.0,94.0,-0.6637802720069885,2.0,1.0,1.0,11.0,4.0,29.0
47.0,95.0,-0.6895344853401184,2.0,1.0,1.0,10.0,4.0,39.0
48.0,96.0,-0.9415825605392456,2.0,1.0,1.0,11.0,5.0,37.0
49.0,97.0,-0.6952576637268066,2.0,1.0,1.0,10.0,5.0,43.0
