target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,0.0,-0.0885087549686431,1.0,1.0,1.0,1.0,1.0,31
1.0,1.0,-0.1222487986087799,1.0,1.0,1.0,2.0,1.0,12
2.0,2.0,0.0127113638445734,1.0,1.0,1.0,3.0,1.0,36
3.0,3.0,-0.2909490168094635,1.0,1.0,1.0,4.0,2.0,19
4.0,4.0,-0.1610498428344726,1.0,1.0,1.0,5.0,1.0,37
5.0,5.0,-0.1610498428344726,1.0,1.0,1.0,5.0,2.0,20
6.0,6.0,-0.2909490168094635,1.0,1.0,1.0,1.0,2.0,38
7.0,7.0,-0.2909490168094635,1.0,1.0,1.0,2.0,2.0,14
8.0,8.0,-0.1559888422489166,1.0,1.0,1.0,3.0,2.0,39
9.0,9.0,-0.2909490168094635,1.0,1.0,1.0,4.0,3.0,11
10.0,10.0,-0.0834477543830871,1.0,1.0,1.0,6.0,2.0,40
11.0,11.0,-0.1509278416633606,1.0,1.0,1.0,5.0,3.0,13
12.0,12.0,-0.1610498428344726,1.0,1.0,1.0,6.0,3.0,41
13.0,13.0,-0.1610498428344726,1.0,1.0,1.0,7.0,3.0,30
14.0,14.0,-0.0885087549686431,1.0,1.0,1.0,1.0,3.0,42
15.0,15.0,-0.2909490168094635,1.0,1.0,1.0,2.0,3.0,7
16.0,16.0,-0.2909490168094635,1.0,1.0,1.0,3.0,3.0,0
17.0,17.0,-0.2909490168094635,1.0,1.0,1.0,4.0,4.0,15
18.0,18.0,-0.0834477543830871,1.0,1.0,1.0,5.0,4.0,1
19.0,19.0,-0.1610498428344726,1.0,1.0,1.0,6.0,4.0,6
20.0,20.0,-0.1610498428344726,1.0,1.0,1.0,7.0,4.0,5
21.0,21.0,-0.1171877905726432,1.0,1.0,1.0,5.0,5.0,32
22.0,22.0,-0.1222487986087799,1.0,1.0,1.0,1.0,4.0,28
23.0,23.0,6.460433006286621,1.0,1.0,1.0,2.0,4.0,2
24.0,24.0,-0.0885087549686431,1.0,1.0,1.0,3.0,4.0,8
25.0,25.0,0.0127113638445734,1.0,1.0,1.0,4.0,5.0,16
26.0,26.0,-0.1610498428344726,1.0,1.0,1.0,6.0,5.0,22
27.0,27.0,-0.2521479427814483,1.0,1.0,1.0,7.0,5.0,3
28.0,28.0,-0.0885087549686431,1.0,1.0,1.0,1.0,5.0,26
29.0,29.0,-0.1222487986087799,1.0,1.0,1.0,2.0,5.0,18
30.0,30.0,-0.1846678704023361,1.0,1.0,1.0,8.0,2.0,25
31.0,31.0,-0.0834477543830871,1.0,1.0,1.0,8.0,3.0,24
32.0,32.0,-0.0834477543830871,1.0,1.0,1.0,8.0,4.0,34
33.0,33.0,0.0177723709493875,1.0,1.0,1.0,8.0,5.0,10
34.0,40.0,-0.1526148319244384,1.0,1.0,2.0,1.0,1.0,21
35.0,41.0,-0.1526148319244384,1.0,1.0,2.0,4.0,2.0,23
36.0,42.0,-0.1526148319244384,1.0,1.0,2.0,1.0,2.0,27
37.0,43.0,-0.1610498428344726,1.0,1.0,2.0,4.0,3.0,9
38.0,44.0,-0.1610498428344726,1.0,1.0,2.0,1.0,3.0,35
39.0,45.0,-0.1610498428344726,1.0,1.0,2.0,4.0,4.0,17
40.0,46.0,-0.1610498428344726,1.0,1.0,2.0,1.0,4.0,33
