target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,29
2.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,19
3.0,3.0,0.0,1.0,1.0,1.0,3.0,2.0,18
4.0,4.0,0.0,1.0,1.0,1.0,3.0,3.0,1
5.0,5.0,0.0,1.0,1.0,1.0,4.0,2.0,20
6.0,6.0,0.0,1.0,1.0,1.0,4.0,3.0,2
7.0,7.0,0.0,1.0,1.0,1.0,5.0,2.0,35
8.0,8.0,0.0,1.0,1.0,1.0,5.0,3.0,30
9.0,9.0,0.0,1.0,1.0,1.0,6.0,2.0,36
10.0,10.0,0.0,1.0,1.0,1.0,6.0,3.0,37
11.0,11.0,0.0,1.0,1.0,1.0,7.0,3.0,4
12.0,12.0,0.0,1.0,1.0,1.0,8.0,3.0,6
13.0,13.0,0.0,1.0,1.0,1.0,9.0,1.0,40
14.0,14.0,0.0,1.0,1.0,1.0,9.0,4.0,48
15.0,15.0,0.0,1.0,1.0,1.0,7.0,1.0,39
16.0,16.0,0.0,1.0,1.0,1.0,7.0,4.0,17
17.0,17.0,0.0,1.0,1.0,1.0,2.0,1.0,5
18.0,18.0,0.0,1.0,1.0,1.0,2.0,4.0,13
19.0,19.0,0.0,1.0,1.0,1.0,3.0,1.0,44
20.0,20.0,0.0,1.0,1.0,1.0,3.0,4.0,34
21.0,21.0,0.0,1.0,1.0,1.0,4.0,1.0,46
22.0,22.0,0.0,1.0,1.0,1.0,4.0,4.0,21
23.0,23.0,0.0,1.0,1.0,1.0,5.0,1.0,8
24.0,24.0,0.0,1.0,1.0,1.0,5.0,4.0,7
25.0,25.0,0.0,1.0,1.0,1.0,6.0,1.0,26
26.0,26.0,0.0,1.0,1.0,1.0,6.0,4.0,23
27.0,27.0,0.0,1.0,1.0,1.0,10.0,4.0,42
28.0,28.0,0.0,1.0,1.0,1.0,10.0,5.0,10
29.0,29.0,0.0,1.0,1.0,1.0,1.0,4.0,22
30.0,30.0,0.0,1.0,1.0,1.0,1.0,5.0,41
31.0,31.0,0.0,1.0,1.0,1.0,11.0,4.0,9
32.0,32.0,0.0,1.0,1.0,1.0,11.0,5.0,14
33.0,33.0,0.0,1.0,1.0,1.0,9.0,5.0,25
34.0,34.0,0.0,1.0,1.0,1.0,7.0,5.0,38
35.0,35.0,0.0,1.0,1.0,1.0,2.0,5.0,15
36.0,36.0,0.0,1.0,1.0,1.0,3.0,5.0,33
37.0,37.0,0.0,1.0,1.0,1.0,4.0,5.0,24
38.0,38.0,0.0,1.0,1.0,1.0,5.0,5.0,28
39.0,39.0,0.0,1.0,1.0,1.0,6.0,5.0,16
40.0,40.0,0.0,1.0,1.0,1.0,8.0,5.0,11
41.0,41.0,0.0,1.0,1.0,2.0,10.0,4.0,32
42.0,42.0,0.0,1.0,1.0,2.0,10.0,5.0,3
43.0,43.0,0.0,1.0,1.0,2.0,9.0,1.0,49
44.0,44.0,0.0,1.0,1.0,2.0,9.0,4.0,43
45.0,45.0,0.0,1.0,1.0,2.0,7.0,1.0,12
46.0,46.0,0.0,1.0,1.0,2.0,7.0,4.0,27
47.0,47.0,0.0,1.0,1.0,2.0,2.0,1.0,47
48.0,48.0,0.0,1.0,1.0,2.0,2.0,4.0,45
49.0,49.0,0.0,1.0,1.0,2.0,3.0,1.0,31
0.0,57.0,0.0,1.0,1.0,1.0,1.0,1.0,82
1.0,58.0,0.0,1.0,1.0,1.0,1.0,2.0,77
2.0,59.0,0.0,1.0,1.0,1.0,2.0,1.0,83
3.0,60.0,0.0,1.0,1.0,1.0,2.0,2.0,78
4.0,61.0,0.0,1.0,1.0,1.0,3.0,1.0,84
5.0,62.0,0.0,1.0,1.0,1.0,3.0,2.0,51
6.0,63.0,0.0,1.0,1.0,1.0,4.0,1.0,76
7.0,64.0,0.0,1.0,1.0,1.0,4.0,2.0,85
8.0,65.0,0.0,1.0,1.0,1.0,5.0,1.0,69
9.0,66.0,0.0,1.0,1.0,1.0,5.0,2.0,86
10.0,67.0,0.0,1.0,1.0,1.0,6.0,2.0,75
11.0,68.0,0.0,1.0,1.0,1.0,7.0,2.0,87
12.0,69.0,0.0,1.0,1.0,1.0,6.0,3.0,79
13.0,70.0,0.0,1.0,1.0,1.0,6.0,4.0,88
14.0,71.0,0.0,1.0,1.0,1.0,1.0,3.0,62
15.0,72.0,0.0,1.0,1.0,1.0,1.0,4.0,89
16.0,73.0,0.0,1.0,1.0,1.0,2.0,3.0,72
17.0,74.0,0.0,1.0,1.0,1.0,2.0,4.0,90
18.0,75.0,0.0,1.0,1.0,1.0,3.0,3.0,50
19.0,76.0,0.0,1.0,1.0,1.0,3.0,4.0,55
20.0,77.0,0.0,1.0,1.0,1.0,4.0,3.0,53
21.0,78.0,0.0,1.0,1.0,1.0,4.0,4.0,52
22.0,79.0,0.0,1.0,1.0,1.0,5.0,3.0,60
23.0,80.0,0.0,1.0,1.0,1.0,5.0,4.0,66
24.0,81.0,0.0,1.0,1.0,1.0,7.0,3.0,68
25.0,82.0,0.0,1.0,1.0,1.0,7.0,4.0,54
26.0,83.0,0.0,1.0,1.0,1.0,8.0,3.0,70
27.0,84.0,0.0,1.0,1.0,1.0,8.0,4.0,73
28.0,85.0,0.0,1.0,1.0,1.0,9.0,4.0,81
29.0,86.0,0.0,1.0,1.0,1.0,10.0,4.0,56
30.0,87.0,0.0,1.0,1.0,1.0,9.0,5.0,57
31.0,88.0,0.0,1.0,1.0,1.0,11.0,5.0,64
32.0,89.0,0.0,1.0,1.0,1.0,6.0,5.0,63
33.0,90.0,0.0,1.0,1.0,1.0,1.0,5.0,61
34.0,91.0,0.0,1.0,1.0,1.0,2.0,5.0,74
35.0,92.0,0.0,1.0,1.0,1.0,3.0,5.0,58
36.0,93.0,0.0,1.0,1.0,1.0,4.0,5.0,71
37.0,94.0,0.0,1.0,1.0,1.0,5.0,5.0,65
38.0,95.0,0.0,1.0,1.0,1.0,7.0,5.0,67
39.0,96.0,0.0,1.0,1.0,1.0,8.0,5.0,80
40.0,97.0,0.0,1.0,1.0,1.0,10.0,5.0,59
0.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,91
1.0,99.0,0.0,1.0,1.0,1.0,1.0,2.0,92
2.0,100.0,0.0,1.0,1.0,1.0,2.0,1.0,93
3.0,101.0,0.0,1.0,1.0,1.0,2.0,2.0,120
4.0,102.0,0.0,1.0,1.0,1.0,3.0,1.0,112
5.0,103.0,0.0,1.0,1.0,1.0,3.0,2.0,94
6.0,104.0,0.0,1.0,1.0,1.0,4.0,1.0,130
7.0,105.0,0.0,1.0,1.0,1.0,4.0,2.0,131
8.0,106.0,0.0,1.0,1.0,1.0,5.0,1.0,136
9.0,107.0,0.0,1.0,1.0,1.0,5.0,2.0,137
10.0,108.0,0.0,1.0,1.0,1.0,6.0,1.0,122
11.0,109.0,0.0,1.0,1.0,1.0,6.0,2.0,95
12.0,110.0,0.0,1.0,1.0,1.0,7.0,2.0,96
13.0,111.0,0.0,1.0,1.0,1.0,8.0,2.0,118
14.0,112.0,0.0,1.0,1.0,1.0,9.0,3.0,123
15.0,113.0,0.0,1.0,1.0,1.0,9.0,4.0,138
16.0,114.0,0.0,1.0,1.0,1.0,7.0,3.0,126
17.0,115.0,0.0,1.0,1.0,1.0,1.0,3.0,127
18.0,116.0,0.0,1.0,1.0,1.0,10.0,3.0,117
19.0,117.0,0.0,1.0,1.0,1.0,2.0,3.0,108
20.0,118.0,0.0,1.0,1.0,1.0,3.0,3.0,134
21.0,119.0,0.0,1.0,1.0,1.0,4.0,3.0,97
22.0,120.0,0.0,1.0,1.0,1.0,5.0,3.0,98
23.0,121.0,0.0,1.0,1.0,1.0,6.0,3.0,110
24.0,122.0,0.0,1.0,1.0,1.0,8.0,3.0,133
25.0,123.0,0.0,1.0,1.0,1.0,11.0,3.0,104
26.0,124.0,0.0,1.0,1.0,1.0,7.0,4.0,132
27.0,125.0,0.0,1.0,1.0,1.0,1.0,4.0,140
28.0,126.0,0.0,1.0,1.0,1.0,10.0,4.0,100
29.0,127.0,0.0,1.0,1.0,1.0,2.0,4.0,125
30.0,128.0,0.0,1.0,1.0,1.0,3.0,4.0,99
31.0,129.0,0.0,1.0,1.0,1.0,4.0,4.0,135
32.0,130.0,0.0,1.0,1.0,1.0,5.0,4.0,124
33.0,131.0,0.0,1.0,1.0,1.0,6.0,4.0,105
34.0,132.0,0.0,1.0,1.0,1.0,11.0,4.0,129
35.0,133.0,0.0,1.0,1.0,1.0,8.0,4.0,101
36.0,177.0,0.0,1.0,2.0,1.0,2.0,3.0,128
37.0,178.0,0.0,1.0,2.0,1.0,2.0,4.0,102
38.0,179.0,0.0,1.0,2.0,1.0,3.0,3.0,119
39.0,180.0,0.0,1.0,2.0,1.0,3.0,4.0,113
40.0,181.0,0.0,1.0,2.0,1.0,4.0,3.0,121
41.0,182.0,0.0,1.0,2.0,1.0,4.0,4.0,109
42.0,183.0,0.0,1.0,2.0,1.0,5.0,3.0,114
43.0,184.0,0.0,1.0,2.0,1.0,5.0,4.0,111
44.0,185.0,0.0,1.0,2.0,1.0,6.0,3.0,139
