target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,0.0,-0.2915533483028412,1.0,1.0,1.0,1.0,1.0,4
1.0,1.0,-1.8966493606567385,1.0,1.0,1.0,2.0,2.0,0
2.0,2.0,-0.2738517224788666,1.0,1.0,1.0,1.0,3.0,3
3.0,3.0,-0.2915533483028412,1.0,1.0,1.0,1.0,4.0,5
4.0,4.0,-0.2856528162956238,1.0,1.0,1.0,1.0,5.0,8
5.0,5.0,-0.2856528162956238,1.0,1.0,1.0,1.0,2.0,1
6.0,6.0,0.8432691693305969,1.0,1.0,1.0,3.0,3.0,2
7.0,7.0,0.8491696715354919,1.0,1.0,1.0,3.0,4.0,12
8.0,8.0,0.8432691693305969,1.0,1.0,1.0,3.0,5.0,18
9.0,9.0,0.8558078408241272,1.0,1.0,1.0,3.0,2.0,20
10.0,10.0,-0.2790147066116333,1.0,1.0,1.0,4.0,3.0,22
11.0,11.0,-0.2871279418468475,1.0,1.0,1.0,4.0,4.0,7
12.0,12.0,-0.2856528162956238,1.0,1.0,1.0,4.0,5.0,9
13.0,13.0,-0.2915533483028412,1.0,1.0,1.0,4.0,2.0,33
14.0,14.0,-0.2915533483028412,1.0,1.0,1.0,5.0,5.0,21
15.0,15.0,-0.2915533483028412,1.0,1.0,1.0,5.0,2.0,37
16.0,16.0,-0.2915533483028412,1.0,1.0,1.0,6.0,5.0,34
17.0,17.0,-0.2790147066116333,1.0,1.0,1.0,6.0,2.0,31
18.0,18.0,0.7016560435295105,1.0,1.0,1.0,7.0,3.0,6
19.0,19.0,0.7001808881759644,1.0,1.0,1.0,7.0,4.0,17
20.0,20.0,0.708294153213501,1.0,1.0,1.0,7.0,5.0,11
21.0,21.0,0.6957554817199707,1.0,1.0,1.0,7.0,2.0,13
22.0,22.0,0.8432691693305969,1.0,1.0,1.0,8.0,5.0,10
23.0,23.0,0.6957554817199707,1.0,1.0,1.0,8.0,2.0,23
24.0,36.0,0.6582870483398438,1.0,1.0,2.0,6.0,3.0,36
25.0,37.0,0.9897502064704896,1.0,1.0,2.0,6.0,4.0,47
26.0,38.0,0.9572972059249878,1.0,1.0,2.0,6.0,5.0,35
27.0,39.0,0.2452488243579864,1.0,1.0,2.0,7.0,3.0,38
28.0,40.0,0.4007281959056854,1.0,1.0,2.0,7.0,4.0,19
29.0,41.0,0.3933525085449219,1.0,1.0,2.0,7.0,5.0,15
30.0,42.0,0.9572972059249878,1.0,1.0,2.0,6.0,2.0,14
31.0,43.0,0.6907400488853455,1.0,1.0,2.0,1.0,4.0,39
32.0,44.0,0.6907400488853455,1.0,1.0,2.0,4.0,4.0,32
33.0,45.0,0.9760314226150512,1.0,1.0,2.0,4.0,5.0,28
34.0,46.0,-0.9147984981536864,1.0,1.0,2.0,3.0,4.0,42
