target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,104.0,0.4570511877536773,1.0,1.0,1.0,1.0,1.0,0
1.0,105.0,0.3027920424938202,1.0,1.0,1.0,2.0,1.0,1
2.0,106.0,0.4403631687164306,1.0,1.0,1.0,3.0,1.0,35
3.0,107.0,0.4017983675003052,1.0,1.0,1.0,4.0,1.0,2
4.0,108.0,0.3170960545539856,1.0,1.0,1.0,5.0,1.0,5
5.0,110.0,0.36870276927948,1.0,1.0,1.0,6.0,1.0,9
6.0,112.0,0.5532528162002563,1.0,2.0,2.0,7.0,1.0,8
7.0,113.0,0.5139868259429932,1.0,2.0,2.0,8.0,1.0,3
8.0,115.0,0.5897140502929688,1.0,2.0,2.0,2.0,1.0,43
9.0,116.0,0.6163588166236877,1.0,2.0,2.0,1.0,1.0,4
10.0,117.0,0.6023352742195129,1.0,2.0,2.0,6.0,1.0,12
11.0,119.0,0.5174927115440369,1.0,2.0,2.0,5.0,1.0,21
12.0,120.0,0.5932199358940125,1.0,2.0,2.0,3.0,1.0,45
13.0,213.0,0.5616669654846191,1.0,3.0,3.0,9.0,2.0,38
14.0,214.0,0.4536855518817901,1.0,3.0,3.0,4.0,2.0,16
15.0,215.0,0.5791963934898376,1.0,3.0,3.0,4.0,3.0,30
16.0,216.0,0.5532528162002563,1.0,3.0,3.0,3.0,2.0,15
17.0,217.0,0.6219682693481445,1.0,3.0,3.0,10.0,3.0,26
18.0,218.0,0.5714834332466125,1.0,3.0,3.0,3.0,3.0,27
19.0,219.0,0.6289800405502319,1.0,3.0,3.0,10.0,4.0,13
20.0,220.0,0.575690507888794,1.0,3.0,3.0,9.0,4.0,39
21.0,221.0,0.5784952044487,1.0,3.0,3.0,4.0,4.0,41
22.0,222.0,0.5630692839622498,1.0,3.0,3.0,3.0,4.0,22
23.0,227.0,0.5995305776596069,1.0,3.0,3.0,10.0,1.0,33
24.0,228.0,0.5770928859710693,1.0,3.0,3.0,9.0,1.0,18
25.0,229.0,0.5181939005851746,1.0,3.0,3.0,3.0,1.0,11
26.0,231.0,0.4838362038135528,1.0,3.0,3.0,5.0,1.0,20
27.0,232.0,0.5798975825309753,1.0,3.0,3.0,4.0,1.0,34
28.0,665.0,-1.827667236328125,1.0,4.0,1.0,11.0,1.0,28
29.0,666.0,-0.7840338945388794,1.0,4.0,1.0,7.0,1.0,29
30.0,667.0,-0.5027212500572205,1.0,4.0,1.0,10.0,1.0,36
31.0,668.0,-0.626128613948822,1.0,4.0,1.0,11.0,1.0,10
32.0,688.0,0.3008287250995636,1.0,4.0,1.0,5.0,1.0,48
33.0,689.0,0.2804945707321167,1.0,4.0,1.0,6.0,1.0,24
34.0,690.0,0.3008287250995636,1.0,4.0,1.0,1.0,1.0,46
35.0,692.0,0.028491199016571,1.0,4.0,1.0,2.0,1.0,25
36.0,693.0,0.3942256569862366,1.0,4.0,1.0,5.0,1.0,47
37.0,696.0,-0.6566999554634094,1.0,4.0,1.0,3.0,1.0,40
38.0,698.0,-3.114469051361084,1.0,4.0,1.0,10.0,1.0,49
39.0,700.0,-2.789963960647583,1.0,4.0,1.0,11.0,1.0,14
40.0,702.0,-0.5069283246994019,1.0,4.0,1.0,7.0,1.0,32
41.0,703.0,0.0685985833406448,1.0,4.0,1.0,8.0,1.0,42
42.0,704.0,-1.6063754558563232,1.0,4.0,1.0,9.0,1.0,6
43.0,705.0,-1.7662440538406372,1.0,4.0,1.0,4.0,1.0,19
44.0,747.0,0.0486851260066032,1.0,4.0,4.0,9.0,1.0,37
45.0,748.0,0.8533570170402527,1.0,4.0,4.0,4.0,1.0,17
46.0,749.0,0.7418696880340576,1.0,4.0,4.0,3.0,1.0,7
47.0,750.0,0.8070792555809021,1.0,4.0,4.0,11.0,1.0,31
48.0,755.0,0.6668436527252197,1.0,4.0,4.0,2.0,1.0,44
49.0,757.0,0.5714834332466125,1.0,4.0,4.0,9.0,1.0,23
0.0,109.0,0.4669227302074432,1.0,1.0,1.0,1.0,1.0,50
1.0,111.0,0.5979719758033752,1.0,2.0,2.0,2.0,1.0,93
2.0,114.0,0.6038224101066589,1.0,2.0,2.0,3.0,1.0,73
3.0,118.0,0.6246238350868225,1.0,2.0,2.0,4.0,1.0,70
4.0,223.0,0.608372688293457,1.0,3.0,3.0,5.0,1.0,63
5.0,224.0,0.6012222170829773,1.0,3.0,3.0,6.0,1.0,81
6.0,225.0,0.55116868019104,1.0,3.0,3.0,7.0,1.0,51
7.0,226.0,0.583670973777771,1.0,3.0,3.0,8.0,1.0,98
8.0,230.0,0.6070725917816162,1.0,3.0,3.0,4.0,1.0,67
9.0,669.0,-1.890403389930725,1.0,4.0,1.0,9.0,1.0,52
10.0,670.0,-1.5773413181304932,1.0,4.0,1.0,7.0,1.0,89
11.0,671.0,-2.561250686645508,1.0,4.0,1.0,6.0,2.0,55
12.0,672.0,-2.479864835739136,1.0,4.0,1.0,6.0,1.0,91
13.0,673.0,0.4406608939170837,1.0,4.0,1.0,4.0,3.0,88
14.0,674.0,0.616173267364502,1.0,4.0,1.0,1.0,3.0,86
15.0,675.0,0.5693699717521667,1.0,4.0,1.0,10.0,3.0,58
16.0,676.0,0.3496544659137726,1.0,4.0,1.0,4.0,4.0,85
17.0,677.0,0.4848639965057373,1.0,4.0,1.0,1.0,4.0,71
18.0,678.0,0.5147660970687866,1.0,4.0,1.0,10.0,4.0,53
19.0,679.0,0.3119518160820007,1.0,4.0,1.0,3.0,4.0,69
20.0,680.0,0.6044724583625793,1.0,4.0,1.0,4.0,2.0,66
21.0,681.0,0.3561549484729767,1.0,4.0,1.0,1.0,2.0,54
22.0,682.0,0.3457542061805725,1.0,4.0,1.0,10.0,2.0,62
23.0,683.0,0.5420680642127991,1.0,4.0,1.0,3.0,2.0,75
24.0,684.0,0.2105446755886078,1.0,4.0,1.0,4.0,1.0,96
25.0,685.0,0.3457542061805725,1.0,4.0,1.0,1.0,1.0,83
26.0,686.0,0.3243027031421661,1.0,4.0,1.0,10.0,1.0,78
27.0,687.0,0.1975437551736831,1.0,4.0,1.0,3.0,1.0,64
28.0,691.0,-0.1924837231636047,1.0,4.0,1.0,8.0,4.0,92
29.0,694.0,-0.1924837231636047,1.0,4.0,1.0,8.0,2.0,56
30.0,695.0,-0.7772649526596069,1.0,4.0,1.0,8.0,1.0,57
31.0,697.0,-2.416680335998535,1.0,4.0,1.0,5.0,1.0,87
32.0,699.0,-2.137420654296875,1.0,4.0,1.0,7.0,1.0,94
33.0,701.0,-2.0908775329589844,1.0,4.0,1.0,9.0,1.0,97
34.0,1252.0,0.5108658671379089,1.0,5.0,1.0,6.0,3.0,80
35.0,1253.0,0.3197523653507232,1.0,5.0,1.0,7.0,3.0,61
36.0,1254.0,0.55116868019104,1.0,5.0,1.0,6.0,4.0,82
37.0,1255.0,0.5680698752403259,1.0,5.0,1.0,7.0,4.0,84
38.0,1256.0,0.5732702612876892,1.0,5.0,1.0,6.0,2.0,60
39.0,1257.0,0.5524687767028809,1.0,5.0,1.0,7.0,2.0,99
40.0,1258.0,0.5979719758033752,1.0,5.0,1.0,11.0,1.0,68
